"y" "x1" "x2" "x3" "x4" "x5" "x6" "x7" "x8" "x9" "x10"
87 15.6 18.5 18.4 4 4 8 0.6946 -1.7101 -0.6946 84
82 17 18.4 17.7 5 5 7 -4.3301 -4 -3 87
92 15.3 17.6 19.5 2 5 4 2.9544 1.8794 0.5209 82
114 16.2 19.7 22.5 1 1 0 0.9848 0.3473 -0.1736 92
94 17.4 20.5 20.4 8 8 7 -0.5 -2.9544 -4.3301 114
80 17.7 19.8 18.3 6 6 7 -5.6382 -5 -6 94
79 16.8 15.6 14.9 7 8 8 -4.3301 -1.8794 -3.7588 80
79 14.9 17.5 18.9 5 5 4 0 -1.0419 -1.3892 99
101 16.1 19.6 21.4 2 4 4 -0.766 -1.0261 -2.2981 79
101 17.3 19.3 20.2 7 7 3 -1.5 -1.5 -0.8682 106
90 17.6 20.3 17.4 7 6 8 0.6946 -1.0419 -0.6946 101
72 18.3 19.6 19.4 7 5 6 -0.8682 -2.7362 -6.8944 90
83 15.4 17.4 16.6 8 7 7 -4.3301 -2.0521 -3 70
88 15.9 19.1 21.5 6 5 4 0.5209 -2.9544 -1.0261 83
145 21 24.6 26.9 0 1 1 -0.342 -1.5321 -0.684 121
81 16.2 22.4 23.4 8 3 1 0 0.3473 -2.5712 145
121 19.7 24.2 26.9 2 1 0 1.5321 1.7321 2 81
146 23.6 28.6 28.4 1 1 2 1 -1.9284 -1.2155 121
121 20.4 25.2 27.7 1 0 0 0 -0.5209 1.0261 146
108 24 23.5 25.1 4 4 0 -2.5712 -3.8567 -4.6985 146
83 19.7 22.9 24.8 7 6 6 -2.5981 -3.9392 -4.924 108
57 20.1 22.4 22.8 7 6 7 -5.6382 -3.8302 -4.5963 83
67 19.5 23.4 23.7 5 5 4 -1.5321 -3.0642 -0.8682 81
70 18.8 22.7 24.9 5 2 1 0.684 0 1.3681 67
106 24.1 28.4 30.1 0 0 1 2.8191 3.9392 3.4641 70
139 26.6 30.1 31.9 0 1 4 1.8794 2 1.3681 106
79 19.5 18.8 17.8 8 8 8 0.6946 -0.866 -1.0261 139
93 16.8 18.2 22 8 8 6 0 0 1.2856 79
113 17.5 18.2 22.7 8 8 5 -3.7588 -3.9392 -4.6985 97
88 19.2 22 25.2 4 7 4 -1.9696 -3.0642 -4 72
77 19.4 20.7 22.5 7 8 7 -6.5778 -5.6382 -9 88
71 19.2 21 22.4 6 4 6 -7.8785 -6.8937 -6.8937 77
56 13.8 17.3 18.5 8 8 6 1.5 -3.8302 -2.0521 71
45 14.3 14.5 15.2 8 8 8 0.684 4 2.9544 56
67 15.6 18.6 20.3 5 7 5 -3.2139 -3.7588 -4 45
67 16.9 19.1 19.5 5 5 6 -2.2981 -3.7588 0 67
84 17.4 20.4 21.4 3 4 6 0 0.3473 -2.5981 67
63 15.1 20.5 20.6 8 6 6 2 -5.3623 -6.1284 84
69 15.1 15.6 15.9 8 8 8 -4.5963 -3.8302 -4.3301 63
92 16.7 19.1 19.3 7 6 4 -2.0521 -4.4995 -2.7362 69
88 16.9 20.3 20.7 6 6 5 -2.8191 -3.4641 -3 92
66 18 21.6 23.3 8 6 5 -3 -3.5 -3.2139 88
72 18.6 21.9 23.6 4 7 6 0.866 -1.9696 -1.0261 66
81 18.8 22.5 23.9 6 3 2 0.5209 -1 -2 72
83 19 22.5 24.1 2 4 6 0 -1.0261 0.5209 81
149 19.9 26.9 29 3 4 3 1 -0.9397 -0.6428 83
153 23.8 27.7 29.4 1 1 4 0.9397 1.5 0 149
159 24 28.3 26.5 2 2 7 -0.342 1.2856 -2 153
149 23.3 27.6 28.8 4 6 3 0.866 -1.5321 -0.1736 159
160 25 29.6 31.1 0 3 5 1.5321 -0.684 2.8191 149
156 24.9 30.5 32.2 0 1 4 -0.5 -1.8794 -1.2856 160
84 20.5 26.3 27.8 1 0 2 -1.3681 -0.6946 0 156
126 25.3 29.5 31.2 1 4 4 3 3.7588 5 84
116 21.3 23.8 22.1 7 7 8 0 -2.3941 -1.3892 126
77 20 18.2 23.6 5 7 6 -3.4641 -2.5981 -3.7588 116
63 18.7 20.6 20.3 6 7 7 -5 -4.924 -5.6382 77
54 18.6 18.7 17.8 8 8 8 -4.6985 -2.5 -0.8682 63
65 19.2 23 22.7 8 7 7 -3.8302 -4.924 -5.6382 54
