"y" "x1" "x2" "x3" "x4" "x5" "x6" "x7" "x8" "x9" "x10"
106 18.3 21.9 22.9 5 6 8 1.2856 -2.2981 -3.9392 101
60 13.7 14 15.8 4 5 4 0 3.2139 0 71
72 19.9 21.6 20.4 7 7 8 -3 -4.5963 -5.1962 65
72 18.1 21.2 23.9 7 6 4 -2.5981 -3.9392 -3.7588 113
97 20.8 23.7 25 2 3 4 0 1.7101 -2.7362 93
59 18.3 18.3 19 7 7 7 -3.9392 -1.9284 -1.7101 66
70 17.1 18.2 18 7 7 7 -4.3301 -7.8785 -5.1962 72
81 19.6 25.1 27.2 3 4 4 -1.9284 -2.5712 -4.3301 57
146 27 32.7 33.7 0 0 0 2.9544 6.5778 4.3301 121
78 17.7 20.2 21.5 5 5 3 0 0.5209 0 59
